Label,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,Ratio_6,Ratio_7,Ratio_8,Ratio_9,Ratio_10
A,0.10601475464835955,0.10083535274302291,0.13217387615320977,0.18748489250316802,0.10476092036726373,0.08369062624572726,0.11717471275339512,0.09895148771712578,0.06553205038461245,0.09454741422773721
B,0.13782760827408547,0.17022808318847402,0.17261813988557287,0.1770921893674239,0.1502454556986861,0.13251382602964,0.12049642838187066,0.13902971925564286,0.08800642382354323,0.10476518033302319
C,0.1522607511146171,0.17573418308866554,0.15591013222557012,0.11586295797717225,0.18865876720503605,0.1703053899150997,0.13594792650167034,0.18378213261285628,0.1472484699040894,0.15312129610591593
D,0.16708977176185216,0.17753965659087872,0.23131739334429285,0.29614476961079916,0.13494414273642602,0.14496546120808504,0.1971285976506541,0.11375388026168394,0.11905037916813294,0.11870176424136418
E,0.18492614703936855,0.22639453886136215,0.24594788208390297,0.2458278306790591,0.19972378297143506,0.1979328156369487,0.17982132905870496,0.185899124480185,0.1403715070380928,0.1362216755921135
F,0.1172509905847175,0.21821757827576516,0.2537376148219479,0.278644275344042,0.17557724954780332,0.1785349018773887,0.19147888211450928,0.16671936627386996,0.11939671080117108,0.11275511110059892
G,0.1534349156826363,0.13126631347493484,0.19701048155035294,0.2702887242732464,0.07504798595231982,0.11077998092713941,0.18355614016723984,0.04313635544381724,0.09929030059168029,0.027344583696462314
H,0.1885979951238917,0.22446355318334474,0.21009418515380257,0.26707430777780133,0.19077489849326232,0.12206751656569963,0.1763776123061857,0.08346966837201218,0.09721210716025755,0.07342430800629599
I,0.12001712480606931,0.15253165294839732,0.2195469730167164,0.29493643780077256,0.12253541904277632,0.15088848009091368,0.21301972819557133,0.12177738639407977,0.14488731384605702,0.11461284966211036
J,0.11671171643117827,0.15641437004944822,0.22058918523955573,0.3024094480079092,0.12313254916171675,0.14527377525209162,0.21782708295233905,0.11089578918263866,0.14900268517711263,0.12274187382818184
K,0.1588489729811315,0.15854303962251762,0.12864506160103525,0.18596197304602216,0.14918753708139149,0.06934145147516707,0.12938770067864827,0.0501134300580979,0.061335956662293675,0.03832765471683513
L,0.16842728891956524,0.1275623193415504,0.19754124132779255,0.2823968806866124,0.0865554439878731,0.10938936896767133,0.18763786129179952,0.07578493052894822,0.10465835920926408,0.08428802735196622
M,0.11440221309495087,0.13051412727580347,0.1877091367083201,0.20140233307712155,0.13348211352127573,0.13815233761127874,0.1178697652624377,0.15058754866286597,0.037567193169573666,0.08175549826626667
N,0.12442037749198676,0.14162666543488397,0.13277582030056703,0.19410151561089437,0.1421972736282867,0.06803774787866787,0.11380730235154571,0.09104543067678916,0.04395245744073498,0.09693857580034727
O,0.10960580828529533,0.12413816885904298,0.10821600217282606,0.08452917344967371,0.13136522975511747,0.10811213799666121,0.06928141214284916,0.12480616219067767,0.07301743107356848,0.10221238676473798
P,0.11230582675625037,0.11182971007990654,0.1342990141930445,0.15974416041059458,0.08400914269063542,0.08892904557423498,0.11328609188118008,0.052882841256086985,0.06934988412214114,0.035720506475008726
Q,0.23172144725339305,0.21495295934936468,0.19400593772447622,0.1474498493393029,0.2226302269606445,0.20392453713246086,0.15980647239238546,0.19245403152661852,0.1463232407347724,0.13172530744291452
R,0.1393420512567364,0.1857555420122315,0.11862169888976076,0.15811737161747402,0.17296872058238114,0.07442752068194367,0.09356358316120185,0.1000114684471229,0.056903619296807116,0.09901356397206841
S,0.10866713142674372,0.1381209706538498,0.2134471824325728,0.30083266935837943,0.10138159908496254,0.11964699090427686,0.1972170302066695,0.08710063115700974,0.10545057834321375,0.0693717623167376
T,0.16381610787169817,0.17356214612011497,0.19187699496712732,0.27683017794972076,0.1490568272587236,0.09262452477901104,0.1692292790729943,0.07828998754167012,0.07220411767465669,0.07497386622730029
U,0.17314788898473552,0.2136132795978784,0.2083846440093187,0.2714239190434375,0.18916009223595218,0.12207943173478149,0.17650076484147623,0.10530598089222222,0.09008330673845634,0.09633081074815318
V,0.1434146836168471,0.1997197751929472,0.19850309366489213,0.24346404501150076,0.15998294156212906,0.11007757513963978,0.15277511669229632,0.08403543697915761,0.06924479813330375,0.06311472841531167
W,0.15479758236156793,0.18114424555253567,0.2629669233057374,0.3256042338908765,0.15296514010061538,0.1649273710759154,0.21423177395088755,0.1335871519460924,0.11621064821082103,0.07606089643125759
X,0.11977368169583365,0.16587333653156158,0.22257505082077425,0.2847698058789867,0.11865048958662336,0.12892672774647587,0.18936679888255972,0.08481461532731016,0.09671512629145548,0.059237186918037255
Y,0.05453147453264156,0.12354498613652483,0.21737481748183152,0.33148031046058407,0.0418953980263745,0.11792404561083307,0.23430754904970327,0.037391425119764544,0.15235975298681892,0.09926517723549626
Z,0.16091077466981304,0.16691231034419202,0.26524935522431103,0.3505768500411714,0.1015699343761804,0.1366397435392248,0.21760616123647258,0.07404334445124121,0.10217800095340414,0.08149363439536807
